constructorId,constructorRef,name,nationality,url,own_engine
84,connew,Connew,British,http://en.wikipedia.org/wiki/Connew,N
85,bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi,N
86,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso,N
87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
88,eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,N
89,lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile),N
90,protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor),N
91,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One),N
92,scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell,N
93,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29,N
94,brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership,N
95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Y
96,derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis,N
97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby,N
98,stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro,N
99,emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson,N
100,enb,ENB,Belgium,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,N
101,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW,N
102,ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,Y
103,mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,N
104,behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche,N
105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,N
106,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor),Y
107,watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson,N
108,epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly,N
109,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor),N
110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky,N
111,trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis,N
112,meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski,N
113,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft,N
114,kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor),N
115,vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor),N
116,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor),N
117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin,N
118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,Y
119,moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor),Y
120,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering,N
121,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor),N
122,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor),N
123,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team),N
124,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec,N
125,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering,N
126,alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Y
127,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,Y
128,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini,Y
129,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor),N
130,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti,Y
131,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Y
132,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Y
133,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,N
134,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor),N
135,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor),N
136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz,N
137,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini,N
138,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels,N
139,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme,N
140,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk,N
141,simca,Simca,French,http://en.wikipedia.org/wiki/Simca,N
142,turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor),N
143,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy,N
144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor),Y
145,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW,Y
146,emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,Y
147,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,N
148,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash,N
149,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor),N
150,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt,N
151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles,N
152,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth,N
153,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia,N
154,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago,Y
155,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor),N
156,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor),N
157,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor),N
158,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport),N
159,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor),N
160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth,N
161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor),N
162,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger,N
163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano,N
164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing,N
167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing,N
168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,N
173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,N
174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,N
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,N
176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,N
177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,N
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,N
180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,N
181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,N
182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,N
183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,N
184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),N
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),N
186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren,N
188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren,N
189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,N
190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,N
191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,N
192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing),N
195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,N
196,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,N
197,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM,N
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing),N
199,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering,N
200,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering,N
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus,N
202,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,N
203,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,N
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,N
205,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing,N
206,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1,N
207,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1,N
208,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1,N
209,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport,N
210,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,N
211,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,N
212,alpha_tauri,Scuderia Alpha Tauri,Italian,http://en.wikipedia.org/wiki/Scuderia_Alpha_Tauri,N
213,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,N
